line	trial	thousand_kernel_weight
'PRAGA'	GRINcore_2009_Lab_Aberdeen	41.3
'DETENICKA_VOUSKA'	GRINcore_2009_Lab_Aberdeen	39.6
'DVORSKEHO_ZORO'	GRINcore_2009_Lab_Aberdeen	35.3
'PREROVSKA_PK'	GRINcore_2009_Lab_Aberdeen	39.9
'JARA'	GRINcore_2009_Lab_Aberdeen	35.3
'LEUCURUM3|PI428690'	GRINcore_2009_Lab_Aberdeen	58.5
'MESRI'	GRINcore_2009_Lab_Aberdeen	49.2
'6009'	GRINcore_2009_Lab_Aberdeen	38.1
'R.R.21'	GRINcore_2009_Lab_Aberdeen	53
'NW46A'	GRINcore_2009_Lab_Aberdeen	20.2
'NW72A'	GRINcore_2009_Lab_Aberdeen	31.2
'NW86A'	GRINcore_2009_Lab_Aberdeen	25.9
'NW103A'	GRINcore_2009_Lab_Aberdeen	31.5
'W204'	GRINcore_2009_Lab_Aberdeen	28.6
'G-40'	GRINcore_2009_Lab_Aberdeen	43.5
'NS18-99'	GRINcore_2009_Lab_Aberdeen	41.2
'NS50-25'	GRINcore_2009_Lab_Aberdeen	37.3
'ESTANZUELA_YOUNG'	GRINcore_2009_Lab_Aberdeen	45.2
'MV4'	GRINcore_2009_Lab_Aberdeen	42.8
'NEI_MAI_NO.2'	GRINcore_2009_Lab_Aberdeen	37.6
'PING_YUAN50'	GRINcore_2009_Lab_Aberdeen	30.4
'YOU_ZI_MAI'	GRINcore_2009_Lab_Aberdeen	31.5
'H-78270'	GRINcore_2009_Lab_Aberdeen	32.6
'AL_BORUBRUM50'	GRINcore_2009_Lab_Aberdeen	41.6
'GREKUM105'	GRINcore_2009_Lab_Aberdeen	41.2
'ISHIMSKAJA100'	GRINcore_2009_Lab_Aberdeen	41.7
'KARAGANDINSKAJA2'	GRINcore_2009_Lab_Aberdeen	35.2
'LUTESCENS33'	GRINcore_2009_Lab_Aberdeen	34.3
'PAVLODARSKAJA_I'	GRINcore_2009_Lab_Aberdeen	40.7
'PIROTRIKS28|PI438967'	GRINcore_2009_Lab_Aberdeen	38.6
'SNEGURKA'	GRINcore_2009_Lab_Aberdeen	41.4
'SHORTANDINSKAJA25'	GRINcore_2009_Lab_Aberdeen	44.1
'EGRET'	GRINcore_2009_Lab_Aberdeen	41.8
'FAO51.905'	GRINcore_2009_Lab_Aberdeen	31.4
'AVALON'	GRINcore_2009_Lab_Aberdeen	34.4
'CHIEFTAIN'	GRINcore_2009_Lab_Aberdeen	41.1
'KAN_MING_NO.8'	GRINcore_2009_Lab_Aberdeen	47.2
'LUNG_CHUN_NO.6'	GRINcore_2009_Lab_Aberdeen	42.3
'XIN_CHUN_NO.1'	GRINcore_2009_Lab_Aberdeen	47.1
'VIRTUE'	GRINcore_2009_Lab_Aberdeen	39.6
'7008'	GRINcore_2009_Lab_Aberdeen	45.6
'7040'	GRINcore_2009_Lab_Aberdeen	33.1
'MT-7'	GRINcore_2009_Lab_Aberdeen	43.2
'7020'	GRINcore_2009_Lab_Aberdeen	36.9
'ISTRA'	GRINcore_2009_Lab_Aberdeen	37.5
'BOHR_GAMH'	GRINcore_2009_Lab_Aberdeen	36.6
'YANG_CHOU_WHEAT_NO.3'	GRINcore_2009_Lab_Aberdeen	43.2
'BINDAWARRA'	GRINcore_2009_Lab_Aberdeen	39.7
'MG27028'	GRINcore_2009_Lab_Aberdeen	46.9
'MG27041'	GRINcore_2009_Lab_Aberdeen	48.7
'MG27043'	GRINcore_2009_Lab_Aberdeen	45.3
'MG27056'	GRINcore_2009_Lab_Aberdeen	48.7
'MG27061'	GRINcore_2009_Lab_Aberdeen	46.5
'MG27070'	GRINcore_2009_Lab_Aberdeen	49.7
'MG27073'	GRINcore_2009_Lab_Aberdeen	52.6
'MG27174'	GRINcore_2009_Lab_Aberdeen	58.4
'MG27948'	GRINcore_2009_Lab_Aberdeen	38.3
'MG27959'	GRINcore_2009_Lab_Aberdeen	50.1
'MG27967'	GRINcore_2009_Lab_Aberdeen	42.3
'MG27973'	GRINcore_2009_Lab_Aberdeen	45.6
'MG27981'	GRINcore_2009_Lab_Aberdeen	47.5
'ZG_R-LINE1838-81'	GRINcore_2009_Lab_Aberdeen	46.1
'79TK049-1029'	GRINcore_2009_Lab_Aberdeen	46.1
'79TK052-1054'	GRINcore_2009_Lab_Aberdeen	41.3
'79TK070-1064'	GRINcore_2009_Lab_Aberdeen	36.1
'79TK082-425'	GRINcore_2009_Lab_Aberdeen	42.2
'MG17960'	GRINcore_2009_Lab_Aberdeen	34.7
'MG17968'	GRINcore_2009_Lab_Aberdeen	57.2
'MG17989'	GRINcore_2009_Lab_Aberdeen	49.4
'MG18001'	GRINcore_2009_Lab_Aberdeen	40.5
'MG18030'	GRINcore_2009_Lab_Aberdeen	53.1
'MG18036'	GRINcore_2009_Lab_Aberdeen	47
'MG18061'	GRINcore_2009_Lab_Aberdeen	52.3
'536IIC-72'	GRINcore_2009_Lab_Aberdeen	38.7
'MV-22-77'	GRINcore_2009_Lab_Aberdeen	36.5
'PUSALKA'	GRINcore_2009_Lab_Aberdeen	45.8
'SADOVO_SUPER'	GRINcore_2009_Lab_Aberdeen	44.3
'SO-6300'	GRINcore_2009_Lab_Aberdeen	44
'TRIGO|PI477870'	GRINcore_2009_Lab_Aberdeen	41.9
'TRIGO|PI477878'	GRINcore_2009_Lab_Aberdeen	39.6
'TRIGO|PI477891'	GRINcore_2009_Lab_Aberdeen	43.9
'TRIGO|PI477897'	GRINcore_2009_Lab_Aberdeen	30.8
'TRIGO|PI477899'	GRINcore_2009_Lab_Aberdeen	51.4
'TRIGO|PI477901'	GRINcore_2009_Lab_Aberdeen	44.9
'HR53'	GRINcore_2009_Lab_Aberdeen	26.5
'PNE196-2'	GRINcore_2009_Lab_Aberdeen	50.9
'PNE198-6'	GRINcore_2009_Lab_Aberdeen	51.3
'PNE212-2'	GRINcore_2009_Lab_Aberdeen	48.5
'PNE225-1'	GRINcore_2009_Lab_Aberdeen	39.4
'PNE229-4'	GRINcore_2009_Lab_Aberdeen	45.1
'PNE240-3'	GRINcore_2009_Lab_Aberdeen	48.3
'PNE368-1'	GRINcore_2009_Lab_Aberdeen	42.8
'PNE374-4'	GRINcore_2009_Lab_Aberdeen	44.5
'PNE377-1'	GRINcore_2009_Lab_Aberdeen	45.2
'PNE381-1'	GRINcore_2009_Lab_Aberdeen	42.5
'PNE382-1'	GRINcore_2009_Lab_Aberdeen	43.5
'PNE409-2'	GRINcore_2009_Lab_Aberdeen	41.1
'SONALIKA'	GRINcore_2009_Lab_Aberdeen	53.6
'SHASHI|PI479669'	GRINcore_2009_Lab_Aberdeen	36.1
'BELLA'	GRINcore_2009_Lab_Aberdeen	39
'MAQUADZI'	GRINcore_2009_Lab_Aberdeen	47.4
'RY2'	GRINcore_2009_Lab_Aberdeen	40.4
'MG31277'	GRINcore_2009_Lab_Aberdeen	46.2
'SOPRIMO|PI480364'	GRINcore_2009_Lab_Aberdeen	45
'R-123|PI480478'	GRINcore_2009_Lab_Aberdeen	45.4
'R-123|PI480479'	GRINcore_2009_Lab_Aberdeen	44.7
'R-124'	GRINcore_2009_Lab_Aberdeen	44.1
'IQ108'	GRINcore_2009_Lab_Aberdeen	47.8
'JHO'	GRINcore_2009_Lab_Aberdeen	36.5
'DOSHERBONG'	GRINcore_2009_Lab_Aberdeen	31.6
'BONG'	GRINcore_2009_Lab_Aberdeen	35.5
'BITHPU_BONG'	GRINcore_2009_Lab_Aberdeen	40.1
'ANGWA'	GRINcore_2009_Lab_Aberdeen	32.5
'CHIWORE'	GRINcore_2009_Lab_Aberdeen	33
'NE76706'	GRINcore_2009_Lab_Aberdeen	35.1
'ALKAMA_TIRE'	GRINcore_2009_Lab_Aberdeen	26.8
'ALKAMA'	GRINcore_2009_Lab_Aberdeen	30.6
